canonical_vi,canonical_en,parent_vi,parent_en,keywords
Secoda,Secoda,Quản trị dữ liệu,Data Governance,secoda|secoda co|data catalog
Datafold,Datafold,Quản trị dữ liệu,Data Governance,datafold|data fold|data diff
DataGrail,DataGrail,Quản trị dữ liệu,Data Governance,datagrail|data grail|privacy management
OneTrust,OneTrust,Quản trị dữ liệu,Data Governance,onetrust|one trust|privacy platform
TrustArc,TrustArc,Quản trị dữ liệu,Data Governance,trustarc|trust arc|privacy compliance
BigID,BigID,Quản trị dữ liệu,Data Governance,bigid|big id|data intelligence
Privitar,Privitar,Quản trị dữ liệu,Data Governance,privitar|data privacy|data anonymization
Databunker,Databunker,Quản trị dữ liệu,Data Governance,databunker|data bunker|secure vault
Databand,Databand,Chất lượng dữ liệu,Data Quality,databand|data band|data observability
Metaplane,Metaplane,Chất lượng dữ liệu,Data Quality,metaplane|meta plane|data observability
Querybook,Querybook,Chất lượng dữ liệu,Data Quality,querybook|query book|query validation
VS Code,VS Code,Môi trường phân tích,Analytics Environments,vscode|visual studio code|vs code
PyCharm,PyCharm,Môi trường phân tích,Analytics Environments,pycharm|jetbrains pycharm|python ide
DataGrip,DataGrip,Môi trường phân tích,Analytics Environments,datagrip|data grip|jetbrains database
DBeaver,DBeaver,Môi trường phân tích,Analytics Environments,dbeaver|db ever|universal database tool
TablePlus,TablePlus,Môi trường phân tích,Analytics Environments,tableplus|table plus|database client
Beekeeper Studio,Beekeeper Studio,Môi trường phân tích,Analytics Environments,beekeeper|beekeeper studio|sql editor
PopSQL,PopSQL,Môi trường phân tích,Analytics Environments,popsql|pop sql|collaborative sql
DataSpell,DataSpell,Môi trường phân tích,Analytics Environments,dataspell|data spell|jetbrains data
Hex,Hex,Môi trường phân tích,Analytics Environments,hex|hex tech|hex notebook
Deepnote,Deepnote,Môi trường phân tích,Analytics Environments,deepnote|deep note|collaborative notebook
Mode,Mode,Môi trường phân tích,Analytics Environments,mode|mode analytics|sql analytics
Count,Count,Môi trường phân tích,Analytics Environments,count|count co|count analytics
Rill,Rill,Môi trường phân tích,Analytics Environments,rill|rill data|rill developer
Evidence,Evidence,Môi trường phân tích,Analytics Environments,evidence|evidence stf|sql reporting
Docker Compose,Docker Compose,MLOps & DevOps,MLOps & DevOps,docker-compose|docker compose|compose file
Podman,Podman,MLOps & DevOps,MLOps & DevOps,podman|pod man|container engine
Containerd,Containerd,MLOps & DevOps,MLOps & DevOps,containerd|container daemon|container runtime
CRI-O,CRI-O,MLOps & DevOps,MLOps & DevOps,cri-o|crio|kubernetes container runtime
Packer,Packer,MLOps & DevOps,MLOps & DevOps,packer|hashicorp packer|image builder
Vagrant,Vagrant,MLOps & DevOps,MLOps & DevOps,vagrant|hashicorp vagrant|vm manager
Nomad,Nomad,MLOps & DevOps,MLOps & DevOps,nomad|hashicorp nomad|workload orchestrator
Consul,Consul,MLOps & DevOps,MLOps & DevOps,consul|hashicorp consul|service mesh
Vault,Vault,MLOps & DevOps,MLOps & DevOps,vault|hashicorp vault|secret management
Boundary,Boundary,MLOps & DevOps,MLOps & DevOps,boundary|hashicorp boundary|access management
Waypoint,Waypoint,MLOps & DevOps,MLOps & DevOps,waypoint|hashicorp waypoint|deployment workflow
Spinnaker,Spinnaker,MLOps & DevOps,MLOps & DevOps,spinnaker|spinnaker cd|continuous delivery
Tekton,Tekton,MLOps & DevOps,MLOps & DevOps,tekton|tekton cd|kubernetes native ci/cd
Flagger,Flagger,MLOps & DevOps,MLOps & DevOps,flagger|flagger cd|canary deployment
Knative,Knative,MLOps & DevOps,MLOps & DevOps,knative|k native|serverless kubernetes
Istio,Istio,MLOps & DevOps,MLOps & DevOps,istio|istio io|service mesh
Linkerd,Linkerd,MLOps & DevOps,MLOps & DevOps,linkerd|linkerd io|service mesh
Envoy,Envoy,MLOps & DevOps,MLOps & DevOps,envoy|envoy proxy|service proxy
Traefik,Traefik,MLOps & DevOps,MLOps & DevOps,traefik|traefik proxy|edge router
NGINX,NGINX,MLOps & DevOps,MLOps & DevOps,nginx|nginx plus|web server
HAProxy,HAProxy,MLOps & DevOps,MLOps & DevOps,haproxy|ha proxy|load balancer
Caddy,Caddy,MLOps & DevOps,MLOps & DevOps,caddy|caddy server|web server
AWS CloudFront,AWS CloudFront,MLOps & DevOps,MLOps & DevOps,cloudfront|aws cloudfront|cdn
Azure Front Door,Azure Front Door,MLOps & DevOps,MLOps & DevOps,front door|azure front door|global load balancer
Google Cloud CDN,Google Cloud CDN,MLOps & DevOps,MLOps & DevOps,cloud cdn|google cdn|content delivery
