canonical_vi,canonical_en,parent_vi,parent_en,keywords
LSTM,LSTM,Học sâu,Deep Learning,\blstm\b|long short.term memory|\bgru\b
Transformer,Transformer,Học sâu,Deep Learning,\btransformer\b|\btransformers\b|attention mechanism|self-attention|multi-head attention
GAN,GAN,Học sâu,Deep Learning,\bgan\b|generative adversarial network|stylegan
VAE,VAE,Học sâu,Deep Learning,\bvae\b|variational autoencoder
Autoencoder,Autoencoder,Học sâu,Deep Learning,autoencoder|auto encoder
Deep Learning,Deep Learning,Học sâu,Deep Learning,deep learning|hoc sau|neural network|mang no ron|\bdnn\b
Reinforcement Learning,Reinforcement Learning,Học sâu,Deep Learning,reinforcement learning|hoc tang cuong|\brl\b|q-learning|policy gradient
Tokenization,Tokenization,NLP,NLP,tokenization|tokenizer|\bbpe\b|wordpiece|sentencepiece|byte-pair encoding
NER,NER,NLP,NLP,\bner\b|named entity recognition|nhan dien thuc the
Topic Modeling,Topic Modeling,NLP,NLP,topic modeling|\blda\b|latent dirichlet
Text Classification,Text Classification,NLP,NLP,text classification|phan loai van ban|document classification
NLP,NLP,NLP,NLP,\bnlp\b|natural language processing|xu ly ngon ngu tu nhien
Image Classification,Image Classification,Tầm nhìn máy tính,Computer Vision,image classification|phan loai anh|phan loai hinh anh
Object Detection,Object Detection,Tầm nhìn máy tính,Computer Vision,object detection|phat hien doi tuong|nhan dien doi tuong|nhan dien vat the
Image Segmentation,Image Segmentation,Tầm nhìn máy tính,Computer Vision,image segmentation|phan doan anh|semantic segmentation|instance segmentation|panoptic segmentation
3D Vision,3D Vision,Tầm nhìn máy tính,Computer Vision,3d vision|point cloud|depth estimation|\bnerf\b|gaussian splatting
Action Recognition,Action Recognition,Tầm nhìn máy tính,Computer Vision,action recognition|nhan dien hanh dong|video analysis|video understanding
OCR,OCR,Tầm nhìn máy tính,Computer Vision,\bocr\b|optical character recognition|tesseract|paddleocr|easyocr|nhan dien ky tu
Computer Vision,Computer Vision,Tầm nhìn máy tính,Computer Vision,computer vision|thi giac may tinh|tam nhin may tinh
Prompt Engineering,Prompt Engineering,AI tạo sinh & LLM,GenAI & LLM Apps,prompt engineering|ky thuat prompt|prompting|few-shot|zero-shot|chain of thought|chain-of-thought|\bcot prompting\b
RAG,RAG,AI tạo sinh & LLM,GenAI & LLM Apps,\brag\b|retrieval augmented|retrieval-augmented generation|agentic rag|graph rag|hybrid rag
AI Agent,AI Agent,AI tạo sinh & LLM,GenAI & LLM Apps,\bai agent\b|agentic|multi-agent|agent orchestration|react agent|reasoning agent|autonomous agent
Tool Use,Tool Use,AI tạo sinh & LLM,GenAI & LLM Apps,tool calling|function calling|tool use|tool invocation
MCP,MCP,AI tạo sinh & LLM,GenAI & LLM Apps,\bmcp\b|model context protocol
Structured Output,Structured Output,AI tạo sinh & LLM,GenAI & LLM Apps,structured output|json mode|json schema output|pydantic output
LLM,LLM,AI tạo sinh & LLM,GenAI & LLM Apps,\bllm\b|large language model|mo hinh ngon ngu lon|gen ai|generative ai|\bgenai\b|ai tao sinh
Multimodal,Multimodal,AI tạo sinh & LLM,GenAI & LLM Apps,multimodal|multi-modal|da phuong thuc|vision language model|\bvlm\b
Knowledge Graph,Knowledge Graph,AI tạo sinh & LLM,GenAI & LLM Apps,knowledge graph|do thi tri thuc|kg-rag
Vector Database,Vector Database,CSDL Vector & Embedding,Vector DB & Embeddings,vector database|vector db|vector store|csdl vector|co so du lieu vector
Text Embeddings,Text Embeddings,CSDL Vector & Embedding,Vector DB & Embeddings,\bembedding\b|embeddings|text embedding|word embedding|word2vec|\bglove\b|\bbge\b|bge-m3|voyage ai|cohere embed|text-embedding-3|text-embedding-ada
Semantic Search,Semantic Search,CSDL Vector & Embedding,Vector DB & Embeddings,similarity search|semantic search|tim kiem ngu nghia|\bknn search\b|nearest neighbor
Hybrid Search,Hybrid Search,CSDL Vector & Embedding,Vector DB & Embeddings,hybrid search|tim kiem ket hop|\bbm25\b|reciprocal rank fusion|\brrf\b
Reranker,Reranker,CSDL Vector & Embedding,Vector DB & Embeddings,reranker|re-ranker|reranking|re-ranking|cohere rerank|bge reranker|cross-encoder
Chunking,Chunking,CSDL Vector & Embedding,Vector DB & Embeddings,chunking|chunk strategy|semantic chunking|document chunking
LoRA,LoRA,Fine-tuning & LLMOps,Fine-tuning & LLMOps,\blora\b|low-rank adaptation
QLoRA,QLoRA,Fine-tuning & LLMOps,Fine-tuning & LLMOps,\bqlora\b
PEFT,PEFT,Fine-tuning & LLMOps,Fine-tuning & LLMOps,\bpeft\b|parameter efficient|parameter-efficient fine-tuning
DPO,DPO,Fine-tuning & LLMOps,Fine-tuning & LLMOps,\bdpo\b|direct preference optimization
RLHF,RLHF,Fine-tuning & LLMOps,Fine-tuning & LLMOps,\brlhf\b|reinforcement learning from human|reinforcement learning with human|\bppo\b
SFT,SFT,Fine-tuning & LLMOps,Fine-tuning & LLMOps,\bsft\b|supervised fine.tuning
Fine-tuning,Fine-tuning,Fine-tuning & LLMOps,Fine-tuning & LLMOps,fine.tuning|fine-tune|fine tune|tinh chinh mo hinh|model fine tuning
ETL/ELT,ETL/ELT,ETL & Điều phối,ETL & Orchestration,\betl\b|extract.transform.load|trich xuat chuyen doi|\belt\b
CDC,CDC,ETL & Điều phối,ETL & Orchestration,\bcdc\b|change data capture|debezium
Streaming,Streaming,ETL & Điều phối,ETL & Orchestration,stream processing|real.time processing|streaming data|streaming pipeline|xu ly stream
Data Pipeline,Data Pipeline,ETL & Điều phối,ETL & Orchestration,data pipeline|pipeline du lieu|data engineering pipeline
Star Schema,Star Schema,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,star schema|so do hinh sao
Snowflake Schema,Snowflake Schema,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,snowflake schema|so do bong tuyet
Medallion Architecture,Medallion Architecture,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,medallion|bronze silver gold|kien truc medallion
Data Vault,Data Vault,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,data vault|datavault
Data Warehouse,Data Warehouse,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,data warehouse|\bdwh\b|kho du lieu
Data Lake / Lakehouse,Data Lake / Lakehouse,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,data lake|ho du lieu|data lakehouse|lakehouse
OLAP,OLAP,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,\bolap\b|online analytical processing
OLTP,OLTP,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,\boltp\b|online transaction processing
NoSQL,NoSQL,CSDL vận hành,Operational Databases,nosql|no.sql
Time Series Database,Time Series Database,CSDL vận hành,Operational Databases,time series database|\btsdb\b|influxdb|timescale|timescaledb
CI/CD,CI/CD,MLOps & DevOps,MLOps & DevOps,ci/cd|ci.cd|continuous integration|continuous deployment|continuous delivery
Testing,Testing,MLOps & DevOps,MLOps & DevOps,pytest|py test|unit test|integration test|kiem thu|test framework
MLOps,MLOps,MLOps & DevOps,MLOps & DevOps,\bmlops\b|machine learning ops|llmops|\bllmops\b|model deployment|model serving|model monitoring
Analytics Engineering,Analytics Engineering,Kỹ thuật phân tích,Analytics Engineering,analytics engineering|analytics engineer|ky thuat phan tich|dbt model|semantic model
Data Engineering,Data Engineering,Kỹ thuật dữ liệu,Data Engineering,data engineering|ky thuat du lieu|data engineer|data platform engineer
Data Analytics,Data Analytics,Phân tích dữ liệu,Data Analytics,data analytics|phan tich du lieu|data analyst|business analyst data
Data Science,Data Science,Khoa học dữ liệu,Data Science,data science|khoa hoc du lieu|data scientist
Data Governance,Data Governance,Quản trị dữ liệu,Data Governance,data governance|quan tri du lieu|data policy|data ownership
Data Stewardship,Data Stewardship,Quản trị dữ liệu,Data Governance,data steward|data stewardship|chu quan du lieu|data owner
Data Quality,Data Quality,Chất lượng dữ liệu,Data Quality,data quality|chat luong du lieu|data quality rule|dq rule
Data Lineage,Data Lineage,Quản trị dữ liệu,Data Governance,data lineage|lineage graph|nguon goc du lieu|impact analysis
Metadata Management,Metadata Management,Quản trị dữ liệu,Data Governance,metadata management|quan ly metadata|business metadata|technical metadata
Data Catalog,Data Catalog,Quản trị dữ liệu,Data Governance,data catalog|catalog du lieu|data discovery|dataset catalog
Master Data Management,Master Data Management,Quản trị dữ liệu,Data Governance,master data management|\bmdm\b|du lieu chu|master data
Data Privacy,Data Privacy,Quản trị dữ liệu,Data Governance,data privacy|bao mat rieng tu du lieu|gdpr|pdpa|pii|personal data
Data Security,Data Security,Quản trị dữ liệu,Data Governance,data security|bao mat du lieu|row level security|column level security|data masking
Data Contracts,Data Contracts,Quản trị dữ liệu,Data Governance,data contract|data contracts|schema contract|producer consumer contract
Data Mesh,Data Mesh,Kiến trúc dữ liệu,Data Architecture,data mesh|domain data product|federated governance
Data Fabric,Data Fabric,Kiến trúc dữ liệu,Data Architecture,data fabric|metadata driven data|unified data fabric
Data Product,Data Product,Kiến trúc dữ liệu,Data Architecture,data product|san pham du lieu|data as a product
Data Architecture,Data Architecture,Kiến trúc dữ liệu,Data Architecture,data architecture|kien truc du lieu|data architect|solution architecture data
Data Platform,Data Platform,Kiến trúc dữ liệu,Data Architecture,data platform|nen tang du lieu|platform data|self-service data platform
Data Ingestion,Data Ingestion,ETL & Điều phối,ETL & Orchestration,data ingestion|nap du lieu|ingest data|source ingestion
Data Transformation,Data Transformation,ETL & Điều phối,ETL & Orchestration,data transformation|bien doi du lieu|transform data|transformation logic
Data Cleaning,Data Cleaning,Chất lượng dữ liệu,Data Quality,data cleaning|lam sach du lieu|clean data|data cleansing
Data Wrangling,Data Wrangling,Chất lượng dữ liệu,Data Quality,data wrangling|data munging|xu ly du lieu tho|prepare data
Data Profiling,Data Profiling,Chất lượng dữ liệu,Data Quality,data profiling|profile data|phan tich ho so du lieu|column profiling
Data Validation,Data Validation,Chất lượng dữ liệu,Data Quality,data validation|validate data|kiem tra du lieu|schema validation
Schema Evolution,Schema Evolution,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,schema evolution|schema change|schema migration|evolve schema
Data Mart,Data Mart,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,data mart|mart du lieu|department mart|subject area mart
Semantic Layer,Semantic Layer,BI & Trực quan hóa,BI & Visualization,semantic layer|semantic model|business semantic layer|metrics layer
Metrics Layer,Metrics Layer,BI & Trực quan hóa,BI & Visualization,metrics layer|metric store|metric definition|metric governance
KPI Design,KPI Design,BI & Trực quan hóa,BI & Visualization,kpi design|metric design|thiet ke kpi|business metrics|north star metric
Dashboard Design,Dashboard Design,BI & Trực quan hóa,BI & Visualization,dashboard design|thiet ke dashboard|dashboarding|report design
Exploratory Data Analysis,Exploratory Data Analysis,Phân tích dữ liệu,Data Analytics,exploratory data analysis|\beda\b|phan tich kham pha du lieu
Cohort Analysis,Cohort Analysis,Phân tích dữ liệu,Data Analytics,cohort analysis|phan tich cohort|retention cohort|cohort retention
Funnel Analysis,Funnel Analysis,Phân tích dữ liệu,Data Analytics,funnel analysis|phan tich funnel|conversion funnel|sales funnel
Retention Analysis,Retention Analysis,Phân tích dữ liệu,Data Analytics,retention analysis|phan tich giu chan|user retention|customer retention
Experiment Design,Experiment Design,Thống kê & Toán học,Statistics & Math,experiment design|experimental design|thiet ke thi nghiem|randomized experiment
Classification,Classification,Học máy cổ điển,Classical ML,classification|phan lop|binary classification|multi-class classification|multiclass classification
Decision Tree,Decision Tree,Học máy cổ điển,Classical ML,decision tree|cay quyet dinh|classification tree|regression tree
kNN,kNN,Học máy cổ điển,Classical ML,\bknn\b|k-nearest neighbors|nearest neighbors
Naive Bayes,Naive Bayes,Học máy cổ điển,Classical ML,naive bayes|bayes classifier
Association Rule Mining,Association Rule Mining,Học máy cổ điển,Classical ML,association rule|association rules|apriori|fp-growth|fp growth
Market Basket Analysis,Market Basket Analysis,Học máy cổ điển,Classical ML,market basket analysis|basket analysis|phan tich gio hang
Survival Analysis,Survival Analysis,Thống kê & Toán học,Statistics & Math,survival analysis|cox regression|kaplan meier|time to event
Uplift Modeling,Uplift Modeling,Thống kê & Toán học,Statistics & Math,uplift modeling|uplift model|incrementality|treatment effect model
Feature Store,Feature Store,MLOps & DevOps,MLOps & DevOps,feature store|kho dac trung|offline feature|online feature
Model Registry,Model Registry,MLOps & DevOps,MLOps & DevOps,model registry|dang ky mo hinh|registered model|model versioning
Model Serving,Model Serving,MLOps & DevOps,MLOps & DevOps,model serving|serve model|trien khai mo hinh|inference service
Data Drift,Data Drift,MLOps & DevOps,MLOps & DevOps,data drift|drift du lieu|feature drift|distribution drift
Concept Drift,Concept Drift,MLOps & DevOps,MLOps & DevOps,concept drift|drift khai niem|target drift|model drift
Data Labeling,Data Labeling,MLOps & DevOps,MLOps & DevOps,data labeling|label data|gan nhan du lieu|annotation
Active Learning,Active Learning,MLOps & DevOps,MLOps & DevOps,active learning|hoc chu dong|human in the loop labeling
Human-in-the-loop,Human-in-the-loop,MLOps & DevOps,MLOps & DevOps,human-in-the-loop|human in the loop|hitl|human feedback
Query Optimization,Query Optimization,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,query optimization|toi uu truy van|sql optimization|query tuning
SQL Performance Tuning,SQL Performance Tuning,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,sql performance tuning|sql tuning|index tuning|partition pruning
Batch Processing,Batch Processing,ETL & Điều phối,ETL & Orchestration,batch processing|xu ly batch|batch pipeline|batch job
Real-time Analytics,Real-time Analytics,ETL & Điều phối,ETL & Orchestration,real-time analytics|realtime analytics|phan tich thoi gian thuc|near real-time
Event-driven Architecture,Event-driven Architecture,ETL & Điều phối,ETL & Orchestration,event-driven architecture|event driven|event streaming|event sourcing
DataOps,DataOps,Kỹ thuật dữ liệu,Data Engineering,dataops|data ops|data operations|continuous delivery data
MLOps Engineering,MLOps Engineering,MLOps & DevOps,MLOps & DevOps,mlops engineering|mlops practices|mlops lifecycle
LLMOps,LLMOps,MLOps & DevOps,MLOps & DevOps,llmops|llm ops|large language model operations
AIOps,AIOps,MLOps & DevOps,MLOps & DevOps,aiops|ai operations|artificial intelligence operations
Platform Engineering,Platform Engineering,Kiến trúc dữ liệu,Data Architecture,platform engineering|internal developer platform|idp|developer platform
Data Mesh Architecture,Data Mesh Architecture,Kiến trúc dữ liệu,Data Architecture,data mesh|domain oriented|federated data|data product
Data Fabric Architecture,Data Fabric Architecture,Kiến trúc dữ liệu,Data Architecture,data fabric|metadata driven|unified data layer
Composable Data,Composable Data,Kiến trúc dữ liệu,Data Architecture,composable data|composable analytics|modular data
Data Virtualization,Data Virtualization,Kiến trúc dữ liệu,Data Architecture,data virtualization|virtual data layer|data abstraction
Data Federation,Data Federation,Kiến trúc dữ liệu,Data Architecture,data federation|federated query|unified data access
Data Orchestration,Data Orchestration,ETL & Điều phối,ETL & Orchestration,data orchestration|workflow orchestration|pipeline orchestration
Data Observability,Data Observability,Chất lượng dữ liệu,Data Quality,data observability|data monitoring|data health|data reliability
Data Reliability,Data Reliability,Chất lượng dữ liệu,Data Quality,data reliability|data uptime|data sla|data availability
Data Testing,Data Testing,Chất lượng dữ liệu,Data Quality,data testing|data validation|data quality testing|automated data tests
Data Documentation,Data Documentation,Quản trị dữ liệu,Data Governance,data documentation|data wiki|data knowledge base|data dictionary
Data Discovery,Data Discovery,Quản trị dữ liệu,Data Governance,data discovery|data exploration|data search|find data
Data Classification,Data Classification,Quản trị dữ liệu,Data Governance,data classification|data categorization|data tagging|data labeling
Data Retention,Data Retention,Quản trị dữ liệu,Data Governance,data retention|data lifecycle|data archiving|data deletion
Data Sovereignty,Data Sovereignty,Quản trị dữ liệu,Data Governance,data sovereignty|data residency|data localization|data border
Data Ethics,Data Ethics,Quản trị dữ liệu,Data Governance,data ethics|ethical data|responsible data|fair data
Explainable AI,Explainable AI,AI tạo sinh & LLM,GenAI & LLM Apps,explainable ai|xai|model interpretability|model explainability
Responsible AI,Responsible AI,AI tạo sinh & LLM,GenAI & LLM Apps,responsible ai|ethical ai|fair ai|trustworthy ai
AI Governance,AI Governance,AI tạo sinh & LLM,GenAI & LLM Apps,ai governance|ai policy|ai regulation|ai compliance
AI Safety,AI Safety,AI tạo sinh & LLM,GenAI & LLM Apps,ai safety|safe ai|ai alignment|ai risk
AI Red Teaming,AI Red Teaming,AI tạo sinh & LLM,GenAI & LLM Apps,ai red team|adversarial testing|ai attack|ai vulnerability
Prompt Injection,Prompt Injection,AI tạo sinh & LLM,GenAI & LLM Apps,prompt injection|prompt hacking|jailbreak|prompt attack
Hallucination Detection,Hallucination Detection,AI tạo sinh & LLM,GenAI & LLM Apps,hallucination|ai hallucination|fact checking|grounding
Retrieval Augmented Generation,Retrieval Augmented Generation,AI tạo sinh & LLM,GenAI & LLM Apps,rag|retrieval augmented generation|augmented generation
Agentic AI,Agentic AI,AI tạo sinh & LLM,GenAI & LLM Apps,agentic ai|ai agent|autonomous agent|multi-agent system
Multi-modal AI,Multi-modal AI,AI tạo sinh & LLM,GenAI & LLM Apps,multi-modal|multimodal ai|vision language|audio text
Small Language Models,Small Language Models,AI tạo sinh & LLM,GenAI & LLM Apps,slm|small language model|edge ai|on-device llm
Foundation Models,Foundation Models,AI tạo sinh & LLM,GenAI & LLM Apps,foundation model|pre-trained model|base model|large model
Transfer Learning,Transfer Learning,Học máy cổ điển,Classical ML,transfer learning|pre-trained|fine-tuning|domain adaptation
Federated Learning,Federated Learning,Học máy cổ điển,Classical ML,federated learning|distributed ml|privacy preserving ml
Graph Neural Networks,Graph Neural Networks,Học sâu,Deep Learning,gnn|graph neural network|graph convolution|graph attention
Diffusion Models,Diffusion Models,Học sâu,Deep Learning,diffusion model|denoising diffusion|score based|stable diffusion
Generative Adversarial Networks,Generative Adversarial Networks,Học sâu,Deep Learning,gan|generative adversarial|adversarial training|generator discriminator
Variational Autoencoders,Variational Autoencoders,Học sâu,Deep Learning,vae|variational autoencoder|latent space|probabilistic encoder
Self-supervised Learning,Self-supervised Learning,Học sâu,Deep Learning,self-supervised|contrastive learning|simclr|moCo
Meta-learning,Meta-learning,Học sâu,Deep Learning,meta-learning|learning to learn|few-shot|zero-shot learning
Neural Architecture Search,Neural Architecture Search,Học sâu,Deep Learning,nas|neural architecture search|auto ml|automl
Model Compression,Model Compression,Học sâu,Deep Learning,model compression|pruning|quantization|knowledge distillation
Edge AI,Edge AI,Học sâu,Deep Learning,edge ai|on-device ml|tinyml|mobile ai|embedded ai
Causal ML,Causal ML,Thống kê & Toán học,Statistics & Math,causal ml|causal machine learning|uplift modeling|treatment effect
Bayesian Optimization,Bayesian Optimization,Thống kê & Toán học,Statistics & Math,bayesian optimization|gaussian process|hyperparameter optimization
Monte Carlo Methods,Monte Carlo Methods,Thống kê & Toán học,Statistics & Math,monte carlo|simulation|markov chain|mcmc
Graph Analytics,Graph Analytics,Thống kê & Toán học,Statistics & Math,graph analytics|network analysis|community detection|centrality
Spatial Analytics,Spatial Analytics,Thống kê & Toán học,Statistics & Math,spatial analytics|geospatial analysis|spatial statistics|geo analytics
Time Series Forecasting,Time Series Forecasting,Thống kê & Toán học,Statistics & Math,time series forecasting|arima|prophet|exponential smoothing
Anomaly Detection,Anomaly Detection,Học máy cổ điển,Classical ML,anomaly detection|outlier detection|novelty detection|fraud detection
Recommendation Engine,Recommendation Engine,Học máy cổ điển,Classical ML,recommendation engine|collaborative filtering|content-based|hybrid recommendation
Natural Language Understanding,Natural Language Understanding,NLP,NLP,nlu|natural language understanding|intent recognition|entity extraction
Natural Language Generation,Natural Language Generation,NLP,NLP,nlg|natural language generation|text generation|language generation
Speech Recognition,Speech Recognition,NLP,NLP,asr|automatic speech recognition|speech to text|stt
Text-to-Speech,Text-to-Speech,NLP,NLP,tts|text to speech|speech synthesis|voice synthesis
Machine Translation,Machine Translation,NLP,NLP,mt|machine translation|neural translation|language translation
Sentiment Analysis,Sentiment Analysis,NLP,NLP,sentiment analysis|opinion mining|sentiment classification|emotion detection
Named Entity Recognition,Named Entity Recognition,NLP,NLP,ner|named entity recognition|entity extraction|entity recognition
Question Answering,Question Answering,NLP,NLP,qa|question answering|conversational qa|open domain qa
Summarization,Summarization,NLP,NLP,summarization|text summarization|abstractive summary|extractive summary
Image Generation,Image Generation,Tầm nhìn máy tính,Computer Vision,image generation|text to image|image synthesis|generative image
Video Analysis,Video Analysis,Tầm nhìn máy tính,Computer Vision,video analysis|video understanding|action recognition|video captioning
3D Reconstruction,3D Reconstruction,Tầm nhìn máy tính,Computer Vision,3d reconstruction|point cloud|neural radiance field|nerf
Medical Imaging,Medical Imaging,Tầm nhìn máy tính,Computer Vision,medical imaging|radiology|ct scan|mri analysis|x-ray analysis
Autonomous Driving,Autonomous Driving,Tầm nhìn máy tính,Computer Vision,autonomous driving|self-driving|lidar|sensor fusion
Data Visualization,Data Visualization,BI & Trực quan hóa,BI & Visualization,data visualization|data viz|chart design|infographic
Interactive Dashboards,Interactive Dashboards,BI & Trực quan hóa,BI & Visualization,interactive dashboard|drill down|filter|dashboard design
Geospatial Visualization,Geospatial Visualization,BI & Trực quan hóa,BI & Visualization,geospatial viz|map visualization|spatial visualization|choropleth
Real-time Dashboards,Real-time Dashboards,BI & Trực quan hóa,BI & Visualization,real-time dashboard|live dashboard|streaming dashboard|operational dashboard
Embedded Analytics,Embedded Analytics,BI & Trực quan hóa,BI & Visualization,embedded analytics|white label analytics|in-app analytics
Augmented Analytics,Augmented Analytics,BI & Trực quan hóa,BI & Visualization,augmented analytics|ai-powered analytics|nlq|natural language query
Data Storytelling,Data Storytelling,BI & Trực quan hóa,BI & Visualization,data storytelling|narrative visualization|data narrative|insight communication
API Design,API Design,Kỹ thuật dữ liệu,Data Engineering,api design|rest api|graphql|api gateway|api management
Microservices Architecture,Microservices Architecture,Kiến trúc dữ liệu,Data Architecture,microservices|service oriented|soa|distributed system
Event Sourcing,Event Sourcing,Kiến trúc dữ liệu,Data Architecture,event sourcing|event log|event store|cqrs
Domain-Driven Design,Domain-Driven Design,Kiến trúc dữ liệu,Data Architecture,ddd|domain driven design|bounded context|aggregate root
Serverless Architecture,Serverless Architecture,Kiến trúc dữ liệu,Data Architecture,serverless|faas|function as a service|serverless design
Container Orchestration,Container Orchestration,MLOps & DevOps,MLOps & DevOps,container orchestration|kubernetes|docker swarm|service mesh
Infrastructure as Code,Infrastructure as Code,MLOps & DevOps,MLOps & DevOps,infrastructure as code|iac|terraform|cloudformation|pulumi
GitOps,GitOps,MLOps & DevOps,MLOps & DevOps,gitops|git ops|declarative infrastructure|argocd
Chaos Engineering,Chaos Engineering,MLOps & DevOps,MLOps & DevOps,chaos engineering|fault injection|resilience testing|chaos monkey
Site Reliability Engineering,Site Reliability Engineering,MLOps & DevOps,MLOps & DevOps,sre|site reliability engineering|sla|slo|error budget
Observability,Observability,MLOps & DevOps,MLOps & DevOps,observability|metrics|logs|traces|distributed tracing
Cost Optimization,Cost Optimization,MLOps & DevOps,MLOps & DevOps,cost optimization|cloud cost|finops|cost management|resource optimization
Capacity Planning,Capacity Planning,MLOps & DevOps,MLOps & DevOps,capacity planning|resource planning|scaling strategy|load forecasting
Disaster Recovery,Disaster Recovery,MLOps & DevOps,MLOps & DevOps,disaster recovery|dr|backup strategy|rto|rpo|failover
Business Continuity,Business Continuity,MLOps & DevOps,MLOps & DevOps,business continuity|bcp|high availability|fault tolerance
Agile Methodology,Agile Methodology,Kỹ thuật phần mềm,Software Engineering,agile|scrum|kanban|sprint|agile methodology
DevOps Culture,DevOps Culture,MLOps & DevOps,MLOps & DevOps,devops|dev ops|continuous delivery|ci cd culture
Data Literacy,Data Literacy,Phân tích dữ liệu,Data Analytics,data literacy|data skills|data fluency|understanding data
Statistical Thinking,Statistical Thinking,Thống kê & Toán học,Statistics & Math,statistical thinking|data driven|evidence based|statistical reasoning
Experimental Design,Experimental Design,Thống kê & Toán học,Statistics & Math,experimental design|doe|design of experiments|factorial design
Survey Methodology,Survey Methodology,Thống kê & Toán học,Statistics & Math,survey methodology|questionnaire design|sampling method|poll design
Data Collection,Data Collection,Phân tích dữ liệu,Data Analytics,data collection|data gathering|data acquisition|data sourcing
Data Integration,Data Integration,Kỹ thuật dữ liệu,Data Engineering,data integration|data consolidation|data consolidation|data unification
Data Modeling,Data Modeling,Kho dữ liệu & Lakehouse,Warehouse & Lakehouse,data modeling|dimensional modeling|entity relationship|er diagram
ETL Design,ETL Design,ETL & Điều phối,ETL & Orchestration,etl design|etl architecture|etl patterns|data pipeline design
