canonical_vi,canonical_en,parent_vi,parent_en,keywords
Điện toán đám mây & SaaS,Cloud Computing & SaaS,Công nghệ,Technology,cloud computing|cloud services|saas|software as a service|cloud platform|cloud native|managed services|platform as a service|paas
Nghiên cứu thị trường & Consumer Insights,Market Research & Consumer Insights,Kinh doanh,Business,market research|consumer insights|customer insights|survey|khao sat thi truong|nghien cuu thi truong|panel data|brand tracking
Chuyển đổi số & Tư vấn công nghệ,Digital Transformation & Technology Consulting,Công nghệ,Technology,digital transformation|chuyen doi so|technology consulting|it consulting|data transformation|business transformation|erp consulting|process automation
Vi mạch & Bán dẫn,Semiconductor & Electronics,Công nghiệp,Industry,semiconductor|ban dan|chip design|ic design|integrated circuit|vi mach|eda|fabless|electronics manufacturing
Gaming & Esports,Gaming & Esports,Công nghệ,Technology,gaming|esports|game development|game studio|tro choi|phat trien game|game publisher|game operator|mobile gaming|pc gaming|console gaming
Media & Entertainment,Media & Entertainment,Dịch vụ,Services,media|entertainment|truyen thong|giai tri|streaming|content creation|video production|film|movie|music|podcast|broadcasting|television|tv|radio|animation|vfx|visual effects
Sports & Fitness,Sports & Fitness,Dịch vụ,Services,sports|fitness|the thao|the duc|gym|yoga|wellness|athletic|sporting goods|fitness center|sports club|personal training|fitness equipment
Mining & Metals,Mining & Metals,Công nghiệp,Industry,mining|metals|kim loai|khai khoang|quang|iron ore|coal|bauxite|copper|gold|silver|nickel|tin|steel|aluminum|metal processing
Textile & Garment,Textile & Garment,Công nghiệp,Industry,textile|garment|det may|may mac|vai|fabric|clothing|apparel manufacturing|fashion manufacturing|garment factory|textile mill
Paper & Packaging,Paper & Packaging,Công nghiệp,Industry,paper|packaging|giay|bao bi|carton|cardboard|paper mill|packaging materials|corrugated|paper products|printing paper
Chemical & Petrochemical,Chemical & Petrochemical,Công nghiệp,Industry,chemical|petrochemical|hoa chat|hoa dau|plastic|polymer|resin|fertilizer|phan bon|paint|son|coating|adhesive|keo
Food & Beverage Processing,Food & Beverage Processing,Công nghiệp,Industry,food processing|beverage|che bien thuc pham|do uong|dairy|sua|meat processing|che bien thit|seafood processing|canned food|dong hop|juice|soft drink
Event Management,Event Management,Dịch vụ,Services,event management|to chuc su kien|event planning|conference|wedding planner|exhibition|trade show|event organizer|MICE
Publishing & Printing,Publishing & Printing,Dịch vụ,Services,publishing|printing|xuat ban|in an|book publisher|magazine|newspaper|digital publishing|e-book|print media|offset printing
PropTech,PropTech,Công nghệ,Technology,proptech|real estate tech|bat dong san cong nghe|property technology|realtech|property management software|real estate platform
InsurTech,InsurTech,Công nghệ,Technology,insurtech|bao hiem cong nghe|insurance technology|digital insurance|claims automation|insurtech startup|policy management
LegalTech,LegalTech,Công nghệ,Technology,legaltech|luat cong nghe|legal technology|contract management|legal automation|compliance tech|law firm software|legal document automation
HR Tech,HR Tech,Công nghệ,Technology,hr tech|human resource technology|recruitment tech|talent management|hrms|human resource management system|payroll software|employee engagement platform
EdTech,EdTech,Công nghệ,Technology,edtech|giao duc cong nghe|education technology|e-learning platform|online learning|learning management system|lms|educational software|digital classroom
HealthTech,HealthTech,Công nghệ,Technology,healthtech|y te cong nghe|health technology|digital health|telemedicine|telehealth|health app|medical device software|health information system|his
FoodTech,FoodTech,Công nghệ,Technology,foodtech|food tech|thuc pham cong nghe|food delivery|food service tech|restaurant tech|cloud kitchen|meal kit|food innovation|alternative protein
AgriTech,AgriTech,Công nghệ,Technology,agritech|nong nghiep cong nghe|agricultural technology|smart farming|precision agriculture|farm tech|agricultural drone|crop monitoring|livestock technology
ClimateTech & GreenTech,ClimateTech & GreenTech,Công nghệ,Technology,climate tech|green tech|clean tech|carbon credit|carbon footprint|net zero|sustainability tech|renewable tech|energy storage|carbon capture
SpaceTech,SpaceTech,Công nghệ,Technology,space tech|satellite|ve tinh|aerospace tech|space data|earth observation|remote sensing|space exploration|satellite communication|gps
Maritime & Shipping,Maritime & Shipping,Công nghiệp,Industry,maritime|shipping|hang hai|tau bien|port|cargo|freight forwarding|ship owner|ship operator|container|bulk carrier|tanker
Aviation,Aviation,Công nghiệp,Industry,aviation|airline|hang khong|san bay|airport|aircraft|airplane|flight|air cargo|air transport|aviation services|MRO|maintenance repair overhaul
Public Sector & Government Services,Public Sector & Government Services,Khu vực công,Public Sector,public sector|government services|chinh phu|dich vu cong|administrative|public administration|civil service|government agency|state owned|public utility
Testing & Certification,Testing & Certification,Dịch vụ,Services,testing|certification|kiem dinh|chung nhan|quality assurance|qa|qc|inspection|compliance|accreditation|standards|iso|testing laboratory|certification body
Waste Management & Recycling,Waste Management & Recycling,Công nghiệp,Industry,waste management|recycling|quan ly rac|tai che|waste treatment|waste disposal|recycling plant|waste to energy|circular economy|hazardous waste
Water & Wastewater,Water & Wastewater,Công nghiệp,Industry,water|wastewater|nuoc|nuoc thai|water treatment|water supply|water distribution|sewage|water purification|desalination|water utility
Oil & Gas,Oil & Gas,Công nghiệp,Industry,oil|gas|dau khi|petroleum|natural gas|upstream|midstream|downstream|oil refinery|gas processing|lng|cng|oil exploration|drilling
Renewable Energy,Renewable Energy,Công nghiệp,Industry,renewable energy|nang luong tai tao|solar|wind|hydro|biomass|geothermal|solar panel|wind turbine|clean energy|green energy|sustainable energy
Construction Materials,Construction Materials,Công nghiệp,Industry,construction materials|vat lieu xay dung|cement|xi mang|concrete|betong|brick|gach|tile|gach op lat|steel structure|building materials
Interior Design & Furniture,Interior Design & Furniture,Dịch vụ,Services,interior design|furniture|thiet ke noi that|noi that|furniture design|home decor|office furniture|custom furniture|interior decoration|furnishing
Luxury Goods & Jewelry,Luxury Goods & Jewelry,Kinh doanh,Business,luxury|jewelry|hang xa xi|trang suc|luxury goods|luxury brand|high-end|premium|watch|dong ho|diamond|kim cuong|gold|vang|precious stones
Pet Care & Veterinary,Pet Care & Veterinary,Dịch vụ,Services,pet care|veterinary|cham soc thu cung|thu y|pet|dog|cat|pet shop|pet grooming|pet food|veterinary clinic|animal hospital|pet services
Childcare & Early Education,Childcare & Early Education,Dịch vụ,Services,childcare|early education|cham soc tre|giao duc som|daycare|preschool|kindergarten|nursery|child care center|early childhood|tre em|thieu nhi
Senior Care & Elderly Services,Senior Care & Elderly Services,Dịch vụ,Services,senior care|elderly|cham soc nguoi cao tuoi|dich vu nguoi gia|nursing home|assisted living|elder care|senior living|geriatric|aged care
Mental Health Services,Mental Health Services,Y tế,Healthcare,mental health|suc khoe tinh than|psychology|tam ly|psychiatry|tam than hoc|counseling|therapy|mental health clinic|psychological services|wellness center
Alternative Medicine,Alternative Medicine,Y tế,Healthcare,alternative medicine|y hoc thay the|traditional medicine|y hoc co truyen|homeopathy|naturopathy|acupuncture|cham cuu|herbal medicine|thuoc nam|thuoc bac|ayurveda
